subset,model,sample_id,estimated_cost_usd,thinking_tokens,score_accuracy,run_duration_sec
abstract_algebra,openai_gpt-4o-mini,abstract_algebra_41,0.0,0.0,0.0,
abstract_algebra,openai_gpt-4o-mini,abstract_algebra_42,0.0,0.0,0.0,
abstract_algebra,openai_gpt-4o-mini,abstract_algebra_9,0.0,0.0,1.0,
abstract_algebra,openai_gpt-4o-mini,abstract_algebra_91,0.0,0.0,1.0,
abstract_algebra,openai_gpt-4o-mini,abstract_algebra_65,0.0,0.0,0.0,
abstract_algebra,openai_gpt-4o-mini,abstract_algebra_50,0.0,0.0,1.0,
abstract_algebra,openai_gpt-4o-mini,abstract_algebra_78,0.0,0.0,1.0,
abstract_algebra,openai_gpt-4o-mini,abstract_algebra_15,0.0,0.0,0.0,
abstract_algebra,openai_gpt-4o-mini,abstract_algebra_70,0.0,0.0,0.0,
abstract_algebra,openai_gpt-4o-mini,abstract_algebra_1,0.0,0.0,1.0,
abstract_algebra,openai_gpt-4o-mini,abstract_algebra_10,0.0,0.0,1.0,
abstract_algebra,openai_gpt-4o-mini,abstract_algebra_55,0.0,0.0,1.0,
abstract_algebra,openai_gpt-4o-mini,abstract_algebra_73,0.0,0.0,1.0,
abstract_algebra,openai_gpt-4o-mini,abstract_algebra_45,0.0,0.0,0.0,
abstract_algebra,openai_gpt-4o-mini,abstract_algebra_56,0.0,0.0,0.0,
abstract_algebra,openai_gpt-4o-mini,abstract_algebra_48,0.0,0.0,1.0,
abstract_algebra,openai_gpt-4o-mini,abstract_algebra_72,0.0,0.0,0.0,
abstract_algebra,openai_gpt-4o-mini,abstract_algebra_76,0.0,0.0,1.0,
abstract_algebra,openai_gpt-4o-mini,abstract_algebra_92,0.0,0.0,0.0,
abstract_algebra,openai_gpt-4o-mini,abstract_algebra_32,0.0,0.0,1.0,
abstract_algebra,openai_gpt-4o-mini,abstract_algebra_30,0.0,0.0,0.0,
abstract_algebra,openai_gpt-4o-mini,abstract_algebra_21,0.0,0.0,1.0,
abstract_algebra,openai_gpt-4o-mini,abstract_algebra_37,0.0,0.0,1.0,
abstract_algebra,openai_gpt-4o-mini,abstract_algebra_96,0.0,0.0,1.0,
